,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990025,Réunion,,638,B,"2,240","5,260","6,787","5,201","3,727","5,407","5,943","5,991","4,462","3,682","3,213","2,117","1,162",744,480,794,"57,210","1,145","2,669","3,483","2,698","1,959","2,833","3,133","3,236","2,473","2,111","1,887","1,270",698,437,269,423,"30,724","1,095","2,591","3,304","2,503","1,768","2,574","2,810","2,755","1,989","1,571","1,326",847,464,307,211,371,"26,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990026,Rwanda,,646,B R,"8,621","9,363","10,193","12,641","17,969","20,686","19,430","15,753","11,480","8,329","6,330","4,806","3,876","3,546","3,169","3,677","159,869","4,203","4,454","4,755","6,135","9,282","11,348","10,919","8,928","6,123","4,109","2,900","2,059","1,890","1,440","1,122","1,023","80,690","4,418","4,909","5,438","6,506","8,687","9,338","8,511","6,825","5,357","4,220","3,430","2,747","1,986","2,106","2,047","2,654","79,179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990027,Seychelles,,690,B,192,189,173,131,259,455,577,515,369,243,179,158,102,71,53,55,"3,721",96,96,92,74,152,272,349,319,235,157,115,99,63,40,24,21,"2,204",96,93,81,57,107,183,228,196,134,86,64,59,39,31,29,34,"1,517",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990028,Somalia,,706,I R,"87,893","62,658","50,126","37,481","37,752","44,753","42,200","37,416","27,422","17,679","12,934","7,509","6,734","2,211","1,695","1,831","478,294","43,174","30,500","22,053","15,762","16,738","22,087","23,377","22,573","17,158","11,154","8,040","4,535","3,918","1,273",908,951,"244,201","44,719","32,158","28,073","21,719","21,014","22,666","18,823","14,843","10,264","6,525","4,894","2,974","2,816",938,787,880,"234,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990029,South Sudan,,728,B R,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990030,Uganda,,800,B R,"46,277","42,971","43,751","46,338","52,997","57,281","53,277","45,584","37,068","31,866","26,611","23,975","18,923","13,871","7,002","10,515","558,307","23,546","21,801","21,912","22,704","25,407","27,412","26,208","23,523","20,136","18,015","15,423","14,065","11,184","8,255","4,190","6,303","290,084","22,731","21,170","21,839","23,634","27,590","29,869","27,069","22,061","16,932","13,851","11,188","9,910","7,739","5,616","2,812","4,212","268,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990031,United Republic of Tanzania,2,834,B R,"41,732","44,312","48,816","52,632","58,316","60,295","56,243","45,182","35,231","28,742","25,460","22,505","19,774","14,831","9,717","10,237","574,025","20,588","21,591","23,466","24,875","27,391","28,738","27,453","22,431","17,619","14,543","13,144","11,913","10,653","7,991","5,358","5,636","283,390","21,144","22,721","25,350","27,757","30,925","31,557","28,790","22,751","17,612","14,199","12,316","10,592","9,121","6,840","4,359","4,601","290,635",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990032,Zambia,,894,B R,"19,962","22,284","25,650","28,004","29,379","28,817","26,332","22,198","18,330","15,399","13,054","10,757","7,564","5,300","2,397","3,602","279,029","9,966","11,139","12,837","14,065","14,810","14,548","13,269","11,217","9,440","8,185","7,087","5,879","4,143","2,912","1,326","1,984","142,807","9,996","11,145","12,813","13,939","14,569","14,269","13,063","10,981","8,890","7,214","5,967","4,878","3,421","2,388","1,071","1,618","136,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990033,Zimbabwe,,716,B R,"31,637","36,868","43,815","49,411","69,875","82,546","76,828","56,521","46,843","37,056","29,938","22,856","21,679","10,474","4,189","6,285","626,821","15,166","17,714","21,127","24,677","37,219","47,084","46,109","35,167","29,777","23,601","18,666","13,559","11,810","5,176","2,070","3,106","352,028","16,471","19,154","22,688","24,734","32,656","35,462","30,719","21,354","17,066","13,455","11,272","9,297","9,869","5,298","2,119","3,179","274,793",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990034,Middle Africa,,911,,"137,095","148,983","146,808","144,096","147,740","146,039","132,860","112,689","92,805","73,473","53,274","43,042","33,286","22,658","10,942","14,740","1,460,530","68,922","74,579","75,903","73,019","72,446","73,021","68,007","58,073","47,961","38,146","28,035","23,026","17,651","12,348","5,649","7,708","744,494","68,173","74,404","70,905","71,077","75,294","73,018","64,853","54,616","44,844","35,327","25,239","20,016","15,635","10,310","5,293","7,032","716,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990035,Angola,,24,B R,"1,362","2,349","3,623","4,332","4,122","3,579","3,091","2,325","1,900","1,785","1,626","1,184",933,598,399,309,"33,517",665,"1,128","1,716","2,014","1,941","1,868","1,832","1,478","1,225","1,152","1,050",763,570,366,225,149,"18,142",697,"1,221","1,907","2,318","2,181","1,711","1,259",847,675,633,576,421,363,232,174,160,"15,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990036,Cameroon,,120,B C,"16,623","23,466","27,630","26,413","28,059","30,155","30,155","25,864","21,320","15,915","6,423","4,114","3,596","2,801","1,120","1,690","265,344","8,890","12,592","14,906","14,381","15,369","16,514","16,512","14,158","11,668","8,710","3,649","2,463","2,211","1,752",701,"1,051","145,527","7,733","10,874","12,724","12,032","12,690","13,641","13,643","11,706","9,652","7,205","2,774","1,651","1,385","1,049",419,639,"119,817",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990037,Central African Republic,,140,C,"8,176","7,355","6,593","6,481","6,894","6,884","6,041","4,823","3,800","2,941","2,183","1,649","1,300","1,023",511,580,"67,234","4,024","3,745","3,449","3,393","3,602","3,681","3,301","2,664","2,105","1,642","1,252",955,734,555,278,306,"35,686","4,152","3,610","3,144","3,088","3,292","3,203","2,740","2,159","1,695","1,299",931,694,566,468,233,274,"31,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990038,Chad,,148,B R,"5,024","7,433","8,725","8,216","7,547","7,441","6,489","5,174","4,110","3,431","2,787","2,119","2,266","1,790",716,"1,074","74,342","2,791","3,969","4,459","3,973","3,566","3,642","3,385","2,868","2,395","2,096","1,777","1,388","1,485","1,170",468,701,"40,133","2,233","3,464","4,266","4,243","3,981","3,799","3,104","2,306","1,715","1,335","1,010",731,781,620,248,373,"34,209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990039,Congo,,178,B,"9,542","7,877","9,106","10,690","13,236","15,141","14,856","13,165","10,281","7,397","5,305","4,228","3,711","2,531","1,012","1,519","129,597","4,721","3,716","4,086","4,746","6,182","7,527","7,616","6,835","5,332","3,830","2,790","2,280","2,012","1,373",549,823,"64,418","4,821","4,161","5,020","5,944","7,054","7,614","7,240","6,330","4,949","3,567","2,515","1,948","1,699","1,158",463,696,"65,179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990040,Democratic Republic of the Congo,,180,B R,"83,058","88,112","79,498","76,470","75,173","68,286","57,536","48,886","41,348","34,584","29,635","26,076","18,628","12,076","6,402","8,426","754,194","41,231","43,139","41,178","38,323","34,751","31,467","26,668","22,429","18,918","16,016","14,125","12,850","8,896","6,081","2,987","4,058","363,117","41,827","44,973","38,320","38,147","40,422","36,819","30,868","26,457","22,430","18,568","15,510","13,226","9,732","5,995","3,415","4,368","391,077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990041,Equatorial Guinea,,226,C,264,193,141,159,229,283,294,277,229,178,132,114,91,64,34,58,"2,740",107,77,58,70,110,145,159,159,144,119,91,76,61,43,20,26,"1,465",157,116,83,89,119,138,135,118,85,59,41,38,30,21,14,32,"1,275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990042,Gabon,,266,C,"12,891","11,858","11,065","10,722","12,103","14,029","14,203","11,816","9,029","6,493","4,636","3,270","2,550","1,654",661,"1,000","127,980","6,419","6,091","5,856","5,841","6,768","8,075","8,440","7,278","5,682","4,114","2,960","2,084","1,562",943,377,563,"73,053","6,472","5,767","5,209","4,881","5,335","5,954","5,763","4,538","3,347","2,379","1,676","1,186",988,711,284,437,"54,927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990043,Sao Tome and Principe,,678,C,155,340,427,613,377,241,195,359,788,749,547,288,211,121,87,84,"5,582",74,122,195,278,157,102,94,204,492,467,341,167,120,65,44,31,"2,953",81,218,232,335,220,139,101,155,296,282,206,121,91,56,43,53,"2,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990044,Northern Africa,,912,,"256,628","282,856","214,681","225,458","228,609","213,620","182,807","161,839","136,052","104,955","100,205","98,866","99,731","37,777","28,082","31,034","2,403,200","126,033","139,219","101,844","105,919","110,609","109,748","100,097","91,752","77,828","59,578","54,367","51,972","52,075","20,060","14,184","15,358","1,230,643","130,595","143,637","112,837","119,539","118,000","103,872","82,710","70,087","58,224","45,377","45,838","46,894","47,656","17,717","13,898","15,676","1,172,557",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990045,Algeria,,12,B R,"17,329","17,130","16,940","18,753","23,842","28,174","28,042","24,459","20,427","16,837","14,384","12,894","10,937","8,980","6,735","8,091","273,954","9,726","9,711","9,673","10,378","12,966","15,090","14,939","13,215","11,083","8,870","7,540","7,058","6,142","5,226","3,920","4,697","150,234","7,603","7,419","7,267","8,375","10,876","13,084","13,103","11,244","9,344","7,967","6,844","5,836","4,795","3,754","2,815","3,394","123,720",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990046,Egypt,,818,B R,"20,045","18,593","17,596","17,965","21,276","15,291","11,276","10,835","9,477","8,237","6,828","4,707","4,569","3,502","1,401","2,110","173,708","9,717","9,113","8,717","9,454","12,034","8,876","6,378","6,093","5,420","4,660","3,746","2,454","2,201","1,534",614,917,"91,928","10,328","9,480","8,879","8,511","9,242","6,415","4,898","4,742","4,057","3,577","3,082","2,253","2,368","1,968",787,"1,193","81,780",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990047,Libya,,434,C,"32,633","28,485","31,371","43,441","58,680","64,834","56,937","44,638","32,191","22,228","14,519","10,445","8,715","3,418","2,544","1,996","457,075","11,372","9,765","9,236","14,485","24,576","34,553","36,641","32,357","24,893","17,538","11,208","7,330","5,168","1,723","1,068",794,"242,707","21,261","18,720","22,135","28,956","34,104","30,281","20,296","12,281","7,298","4,690","3,311","3,115","3,547","1,695","1,476","1,202","214,368",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990048,Morocco,,504,C,"3,979","3,606","3,750","3,976","4,133","4,268","4,358","4,303","4,086","3,734","3,221","2,573","2,114","2,112","2,300","2,382","54,895","2,201","2,027","2,151","2,296","2,331","2,338","2,362","2,338","2,213","1,982","1,645","1,250",975,933,984,998,"29,024","1,778","1,579","1,599","1,680","1,802","1,930","1,996","1,965","1,873","1,752","1,576","1,323","1,139","1,179","1,316","1,384","25,871",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990049,Sudan,3,729,B R,"180,557","212,836","142,743","138,691","116,907","96,283","77,350","73,328","66,333","51,166","59,015","66,543","72,094","18,929","14,519","15,602","1,402,896","91,963","107,491","70,920","67,950","56,724","46,414","37,320","35,611","32,463","25,180","29,143","33,061","36,985","10,258","7,329","7,573","696,385","88,594","105,345","71,823","70,741","60,183","49,869","40,030","37,717","33,870","25,986","29,872","33,482","35,109","8,671","7,190","8,029","706,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990050,Tunisia,,788,C,"1,958","2,076","2,154","2,506","3,530","4,389","4,445","3,947","3,284","2,580","2,105","1,609","1,233",795,560,813,"37,984",988,"1,044","1,083","1,292","1,855","2,274","2,239","1,952","1,609","1,246","1,006",763,564,363,257,365,"18,900",970,"1,032","1,071","1,214","1,675","2,115","2,206","1,995","1,675","1,334","1,099",846,669,432,303,448,"19,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990051,Western Sahara,,732,I,127,130,127,126,241,381,399,329,254,173,133,95,69,41,23,40,"2,688",66,68,64,64,123,203,218,186,147,102,79,56,40,23,12,14,"1,465",61,62,63,62,118,178,181,143,107,71,54,39,29,18,11,26,"1,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990052,Southern Africa,,913,,"43,296","55,106","65,420","94,225","156,176","180,318","161,009","146,844","121,372","99,122","75,942","57,295","51,238","35,091","20,937","28,968","1,392,359","20,315","26,158","32,892","51,947","96,216","120,765","107,932","96,490","78,692","63,035","46,859","32,148","26,527","16,925","10,080","13,918","840,899","22,981","28,948","32,528","42,278","59,960","59,553","53,077","50,354","42,680","36,087","29,083","25,147","24,711","18,166","10,857","15,050","551,460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990053,Botswana,,72,C,"2,626","2,454","2,061","1,601","1,924","2,875","3,613","3,244","2,522","1,721","1,151",691,482,215,138,192,"27,510","1,283","1,235","1,053",882,"1,136","1,719","2,248","2,171","1,783","1,194",796,476,322,126,77,113,"16,614","1,343","1,219","1,008",719,788,"1,156","1,365","1,073",739,527,355,215,160,89,61,79,"10,896",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990054,Lesotho,,426,C R,764,665,592,584,747,909,979,823,649,503,378,271,135,74,63,104,"8,240",381,333,295,281,355,461,539,475,376,287,214,152,73,37,29,30,"4,318",383,332,297,303,392,448,440,348,273,216,164,119,62,37,34,74,"3,922",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990055,Namibia,,516,B,"7,212","9,394","10,874","13,393","12,406","9,807","8,627","7,811","6,989","6,093","5,108","4,535","4,306","4,336","4,742","5,008","120,641","3,595","4,868","6,236","7,732","6,701","5,091","4,566","4,156","3,774","3,313","2,743","2,369","2,147","2,052","2,159","2,246","63,748","3,617","4,526","4,638","5,661","5,705","4,716","4,061","3,655","3,215","2,780","2,365","2,166","2,159","2,284","2,583","2,762","56,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990056,South Africa,,710,B R,"29,195","38,749","46,197","70,785","132,947","159,059","140,534","128,650","106,068","86,648","66,145","49,253","44,281","29,032","14,505","21,835","1,163,883","13,242","17,673","22,169","38,645","83,512","109,313","96,627","86,233","69,956","56,006","41,436","27,821","22,929","13,976","7,064","10,625","717,227","15,953","21,076","24,028","32,140","49,435","49,746","43,907","42,417","36,112","30,642","24,709","21,432","21,352","15,056","7,441","11,210","446,656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990057,Swaziland,,748,B R,"3,499","3,844","5,696","7,862","8,152","7,668","7,256","6,316","5,144","4,157","3,160","2,545","2,034","1,434","1,489","1,829","72,085","1,814","2,049","3,139","4,407","4,512","4,181","3,952","3,455","2,803","2,235","1,670","1,330","1,056",734,751,904,"38,992","1,685","1,795","2,557","3,455","3,640","3,487","3,304","2,861","2,341","1,922","1,490","1,215",978,700,738,925,"33,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990058,Western Africa,,914,,"411,035","397,130","384,809","465,675","576,333","590,079","476,892","356,053","257,187","181,571","133,200","88,196","63,177","35,665","24,984","28,134","4,470,503","200,304","193,179","185,814","219,771","281,709","313,474","271,292","214,813","162,152","117,612","87,099","57,249","38,441","20,996","13,777","14,435","2,392,339","210,731","203,951","198,995","245,904","294,624","276,605","205,600","141,240","95,035","63,959","46,101","30,947","24,736","14,669","11,207","13,699","2,078,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990059,Benin,,204,C B R,"9,534","7,861","5,944","7,382","10,237","10,738","7,707","5,770","3,880","2,346","1,712",837,866,433,408,557,"76,212","4,756","3,737","2,739","3,487","5,247","5,714","4,405","3,367","2,354","1,460","1,064",543,503,228,225,263,"40,092","4,778","4,124","3,205","3,895","4,990","5,024","3,302","2,403","1,526",886,648,294,363,205,183,294,"36,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990060,Burkina Faso,,854,B R,"29,051","77,461","70,460","53,811","34,422","25,150","17,695","12,656","8,456","5,544","4,579","3,087","2,803","1,600","1,334","1,548","349,657","14,488","39,096","35,975","26,658","15,915","10,742","7,356","5,234","3,469","2,330","1,964","1,411","1,231",749,582,636,"167,836","14,563","38,365","34,485","27,153","18,507","14,408","10,339","7,422","4,987","3,214","2,615","1,676","1,572",851,752,912,"181,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990061,Cabo Verde,,132,B,403,802,"1,176","1,605","1,345","1,192","1,059",567,228,114,94,80,97,54,54,61,"8,931",206,408,595,815,689,598,501,260,110,58,48,40,44,20,20,17,"4,429",197,394,581,790,656,594,558,307,118,56,46,40,53,34,34,44,"4,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,1990062,Côte d'Ivoire,,384,C B,"60,831","71,884","80,464","174,375","297,303","319,659","257,369","192,761","133,230","91,920","59,555","36,622","23,554","11,616","4,339",944,"1,816,426","27,475","30,902","32,927","74,705","141,683","172,125","151,534","122,881","90,449","65,686","44,233","27,620","17,360","8,379","3,121",669,"1,011,749","33,356","40,982","47,537","99,670","155,620","147,534","105,835","69,880","42,781","26,234","15,322","9,002","6,194","3,237","1,218",275,"804,677",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
